,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.946622144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.945829685,0.895343323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.943681654,0.892562121,0.844919068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.942489809,0.889410342,0.841230703,0.796327611
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.938039237,0.884092421,0.834301798,0.789107406,0.746986544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.94341479,0.88496009,0.834065866,0.787092655,0.744455598,0.704718154
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.933119418,0.88031866,0.825773444,0.778283055,0.734451441,0.694665974,0.657586194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.941891121,0.878896895,0.82916433,0.777788675,0.733057899,0.691773291,0.654299713,0.619374597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.934800298,0.880480101,0.82159308,0.775103063,0.727077085,0.685262743,0.646669879,0.611639567,0.578991558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.933456161,0.872595098,0.821889575,0.766921122,0.723524729,0.678694585,0.639662729,0.603637983,0.570938723,0.540463237
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.919788357,0.858582109,0.802602812,0.755964462,0.705405119,0.665489622,0.624255377,0.588354331,0.555219188,0.52514279,0.497111793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.941351117,0.865843797,0.808227227,0.755531053,0.711627991,0.664033896,0.626459399,0.587643496,0.553848007,0.522656203,0.494343752,0.467956742
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.928177554,0.873740977,0.803656778,0.750178371,0.701266965,0.660517128,0.616341358,0.581465553,0.545437503,0.514069288,0.485117756,0.458838774,0.434346944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.924081084,0.85771132,0.807407509,0.742644026,0.693225642,0.648027537,0.610371383,0.56954939,0.537321318,0.504028479,0.475041705,0.448288142,0.424004232,0.401371795
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.920380124,0.850505863,0.789420451,0.743121824,0.683514801,0.638031102,0.596431665,0.56177369,0.524201938,0.494539862,0.463897794,0.437218943,0.412595496,0.390245067,0.369414622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.920442373,0.847156866,0.782841635,0.726616033,0.684000815,0.629135986,0.587270862,0.548980977,0.517080308,0.482497676,0.455195444,0.426991187,0.402434842,0.379770377,0.359198096,0.340024872
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.916251191,0.84335642,0.776208487,0.71727958,0.665762806,0.626716561,0.576446596,0.538087626,0.503004474,0.473775448,0.44208907,0.417073367,0.391231183,0.368731403,0.34796506,0.329115683,0.311548193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.911767995,0.835408511,0.768945392,0.707722056,0.653992564,0.607021219,0.571420102,0.525585557,0.490611076,0.458623381,0.43197329,0.403082665,0.380274148,0.356712071,0.336197492,0.317263405,0.300077147,0.284059672
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.907884566,0.827780091,0.758454494,0.698113654,0.642529932,0.593749756,0.551105196,0.518783492,0.477171015,0.445418224,0.416377089,0.392181883,0.365952531,0.34524503,0.323853384,0.305228514,0.288038549,0.27243541,0.257893392
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.908835123,0.825117381,0.75231562,0.689310083,0.634470208,0.583953769,0.539620632,0.500863758,0.471488658,0.433669778,0.404811726,0.378418123,0.35642867,0.332590513,0.313770809,0.29432933,0.277402394,0.26177955,0.247598869,0.234382572
,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.900432108,0.818344326,0.742962183,0.67740914,0.620676931,0.571297347,0.525810724,0.485891743,0.45099381,0.424543527,0.390490193,0.364505476,0.340739828,0.320939819,0.299475177,0.282529311,0.265023579,0.249782023,0.235714712,0.222945972,0.211045594
,,,,,,,,,,,,,,,,,,,,,,,,,1,0.894450933,0.80539234,0.731968846,0.664543218,0.605909238,0.555165061,0.510997446,0.470311893,0.434606323,0.403391834,0.379733354,0.349274317,0.326032264,0.304775057,0.28706492,0.267865851,0.252708606,0.237050588,0.223417763,0.210835244,0.199414233,0.188769928
,,,,,,,,,,,,,,,,,,,,,,,,1,0.892587664,0.798375869,0.718883267,0.653346362,0.593163079,0.540827111,0.495533484,0.456110016,0.419794594,0.387924243,0.360062575,0.338945307,0.311757947,0.291012377,0.272038456,0.256230607,0.239093755,0.225564584,0.211588431,0.199419939,0.188188938,0.177994684,0.168493709
,,,,,,,,,,,,,,,,,,,,,,,1,0.884492069,0.789486709,0.706157124,0.635846548,0.577879676,0.524648038,0.47835729,0.438295437,0.403425692,0.371304988,0.343115916,0.318472492,0.299794436,0.275747432,0.257398139,0.240615857,0.226633939,0.21147653,0.199510086,0.187148289,0.176385355,0.166451623,0.157434886,0.14903135
,,,,,,,,,,,,,,,,,,,,,,1,0.878768815,0.777264047,0.6937763,0.620548859,0.558762118,0.507822638,0.461044335,0.420365469,0.385160362,0.354517917,0.326291245,0.301519567,0.279863694,0.263450001,0.242318244,0.226193457,0.211445712,0.199158838,0.185838979,0.175323242,0.16446008,0.155001949,0.146272496,0.138348868,0.130964102
,,,,,,,,,,,,,,,,,,,,,1,0.872702651,0.766903875,0.678320395,0.605460416,0.541554635,0.487633181,0.443178162,0.402354614,0.366854059,0.336130469,0.309388726,0.284755234,0.263136926,0.244237788,0.229913514,0.211471774,0.19739963,0.184529233,0.173806446,0.16218217,0.153005058,0.143524748,0.135270612,0.127652395,0.120737424,0.114292719
,,,,,,,,,,,,,,,,,,,,1,0.865741072,0.755534529,0.663940182,0.587249825,0.52417195,0.46884609,0.422164073,0.383677537,0.348334914,0.317600627,0.291001952,0.267850527,0.246524302,0.227808444,0.211446684,0.199045572,0.1830798,0.170896967,0.159754536,0.150471379,0.140407766,0.132462763,0.124255269,0.117109325,0.110513921,0.104527347,0.098947901
,,,,,,,,,,,,,,,,,,,1,0.862577427,0.746768706,0.65170703,0.572699814,0.506548443,0.452138892,0.404416054,0.3641492,0.330951583,0.300465834,0.273955131,0.251011715,0.231041819,0.212646298,0.196502421,0.182389137,0.171692218,0.157920503,0.147411866,0.137800657,0.129793215,0.121112569,0.114259389,0.10717979,0.10101586,0.095326814,0.09016293,0.085350226
,,,,,,,,,,,,,,,,,,1,0.857227366,0.739424975,0.640150571,0.5586611,0.490933953,0.434227188,0.387585831,0.346676508,0.312158659,0.283700754,0.257567536,0.234841836,0.215174111,0.19805537,0.182286226,0.168447253,0.156348959,0.147179267,0.135373777,0.126365486,0.118126494,0.111262296,0.103821009,0.097946275,0.091877449,0.086593559,0.081716753,0.077290131,0.07316455
,,,,,,,,,,,,,,,,,1,0.853392405,0.731551324,0.631019658,0.546299635,0.47675714,0.418959307,0.370566184,0.330762805,0.295851099,0.266393829,0.242108068,0.219806179,0.200412239,0.183627953,0.169018948,0.155561681,0.143751607,0.133427015,0.125601669,0.115526953,0.107839346,0.100808253,0.094950398,0.08860006,0.083586607,0.078407517,0.073898286,0.069736457,0.065958811,0.062438071
,,,,,,,,,,,,,,,,1,0.849056959,0.724578761,0.621128743,0.535771633,0.463839507,0.404793968,0.355720315,0.314631798,0.280836461,0.251194435,0.226183535,0.20556354,0.186627966,0.170161406,0.155910591,0.143506714,0.132080728,0.122053302,0.113287135,0.106642971,0.098088963,0.091561747,0.085591949,0.080618296,0.075226498,0.070969791,0.066572448,0.062743854,0.059210224,0.056002787,0.053013479
,,,,,,,,,,,,,,,1,0.839313478,0.712624949,0.60814872,0.521321725,0.449680352,0.38930675,0.339749033,0.298560855,0.264074708,0.235709827,0.210830875,0.189838889,0.17253225,0.156639367,0.142818762,0.13085786,0.12044712,0.110857135,0.102440981,0.095083419,0.089506883,0.082327389,0.076849008,0.071838476,0.067664023,0.063138614,0.059565902,0.055875153,0.052661762,0.049695939,0.047003894,0.044494927
,,,,,,,,,,,,,,1,0.831733504,0.69808514,0.592714046,0.505817666,0.433600745,0.374014215,0.323799467,0.282580654,0.248323066,0.219639783,0.19604776,0.175355102,0.157895364,0.143500853,0.13028221,0.118787149,0.108838867,0.100179905,0.092203593,0.085203596,0.079084066,0.074445874,0.068474448,0.063917895,0.059750467,0.056278435,0.0525145,0.049542956,0.046473237,0.043800552,0.041333777,0.039094714,0.037007922
,,,,,,,,,,,,,1,0.820538172,0.68246909,0.572805505,0.4863445,0.415042703,0.355785963,0.306892941,0.265689823,0.231868213,0.203758555,0.180222826,0.160864671,0.143885555,0.129559174,0.117747928,0.106901526,0.09746939,0.089306445,0.082201436,0.075656568,0.069912803,0.064891495,0.061085681,0.056185898,0.052447073,0.049027539,0.046178604,0.043090152,0.040651887,0.038133065,0.035940025,0.033915942,0.032078705,0.030366412
,,,,,,,,,,,,1,0.81130242,0.665704605,0.553688824,0.464718492,0.39457247,0.336725149,0.288650013,0.248982985,0.215554797,0.188115242,0.165309809,0.146215215,0.130509897,0.116734699,0.105111671,0.095529179,0.086729467,0.079077152,0.072454535,0.066690224,0.061380357,0.056720426,0.052646627,0.049558961,0.045583755,0.042550437,0.039776161,0.037464813,0.034959145,0.032980974,0.030937448,0.029158229,0.027516086,0.026025531,0.024636344
,,,,,,,,,,,1,0.804447639,0.652650317,0.535524498,0.445413667,0.373841694,0.317412892,0.270877752,0.232203821,0.200293775,0.173402547,0.151328863,0.132983085,0.117622484,0.104988378,0.093906953,0.084556836,0.076848222,0.069769315,0.063613428,0.058285879,0.053648793,0.049377283,0.045628613,0.042351455,0.039867589,0.036669744,0.034229599,0.031997839,0.030138481,0.028122801,0.026531467,0.024887557,0.023456269,0.02213525,0.020936177,0.019818649
,,,,,,,,,,1,0.798150658,0.642070413,0.52091328,0.42742923,0.355507212,0.298381994,0.253343309,0.216201256,0.185333633,0.159864608,0.138401357,0.120783231,0.106140537,0.093880463,0.083796543,0.074951896,0.067489094,0.061336459,0.055686425,0.0507731,0.046520913,0.04281982,0.039410511,0.036418508,0.033802841,0.031820342,0.02926798,0.027320377,0.025539096,0.024055048,0.022446232,0.021176108,0.01986402,0.018721636,0.017667265,0.016710223,0.015818267
,,,,,,,,,1,0.786938777,0.628095702,0.505270105,0.409926859,0.336360636,0.27976241,0.234808361,0.199365673,0.170137152,0.145846222,0.125803659,0.108913395,0.095049008,0.083526104,0.073878177,0.065942749,0.058982554,0.053109785,0.048268038,0.043821807,0.039955321,0.03660911,0.033696576,0.031013659,0.028659136,0.026600767,0.025040661,0.023032109,0.021499464,0.020097705,0.01892985,0.017663811,0.0166643,0.015631767,0.014732782,0.013903056,0.013149923,0.012448008
,,,,,,,,1,0.770861474,0.606620785,0.484174779,0.389493258,0.315996823,0.259287455,0.215658064,0.18100472,0.153683317,0.131152175,0.112427234,0.096977194,0.08395714,0.073269619,0.064387056,0.05694984,0.050832725,0.045467378,0.040940287,0.037207971,0.033780543,0.030800018,0.028220553,0.025975393,0.023907235,0.022092224,0.020505506,0.019302881,0.017754565,0.016573108,0.015492547,0.014592292,0.013616351,0.012845867,0.012049927,0.011356934,0.01071733,0.010136769,0.00959569
,,,,,,,1,0.756085503,0.582837185,0.458657182,0.366077531,0.294490206,0.238920617,0.196043486,0.163055936,0.136855045,0.116197728,0.099162259,0.085004602,0.073323051,0.063478776,0.055398096,0.04868212,0.043058949,0.038433886,0.034377226,0.030954358,0.028132407,0.025540979,0.023287447,0.021337151,0.019639618,0.018075914,0.01670361,0.015503916,0.014594629,0.013423969,0.012530687,0.01171369,0.011033021,0.010295126,0.009712574,0.009110775,0.008586813,0.008103218,0.007664264,0.007255162
,,,,,,1,0.734237468,0.555146305,0.427940899,0.336763288,0.26878784,0.216225743,0.175424469,0.143942473,0.119721777,0.100484101,0.085316726,0.072808646,0.062413564,0.053836531,0.046608496,0.040675358,0.035744236,0.031615493,0.028219599,0.025241047,0.022727849,0.020655868,0.018753143,0.017098516,0.015666536,0.014420143,0.013272013,0.012264416,0.011383556,0.010715923,0.009856381,0.0092005,0.00860063,0.008100857,0.007559067,0.007131336,0.006689473,0.00630476,0.005949686,0.00562739,0.005327012
,,,,,1,0.716830072,0.526323497,0.397945566,0.306760905,0.241402052,0.192675206,0.154997115,0.125749534,0.103182293,0.08582017,0.072030026,0.061157595,0.052191427,0.044739919,0.038591644,0.033410372,0.02915732,0.025622543,0.022662936,0.020228657,0.018093542,0.016292006,0.014806747,0.013442817,0.01225673,0.011230244,0.010336792,0.009513778,0.008791502,0.008160075,0.007681496,0.007065351,0.006595195,0.00616519,0.005806938,0.005418567,0.005111956,0.004795215,0.004519441,0.004264914,0.004033882,0.003818562
,,,,1,0.695234203,0.498364784,0.365918097,0.276665368,0.213270674,0.167830963,0.133954394,0.107759296,0.087425377,0.071735859,0.059665118,0.050077737,0.042518851,0.036285265,0.031104722,0.026830231,0.023228033,0.020271166,0.017813669,0.015756049,0.014063655,0.012579249,0.01132676,0.010294157,0.009345906,0.008521298,0.00780765,0.007186492,0.006614304,0.006112153,0.005673163,0.005340439,0.004912073,0.004585205,0.004286251,0.004037182,0.003767173,0.003554007,0.003333798,0.00314207,0.002965114,0.002804493,0.002654795
,,,1,0.683219546,0.474997596,0.340492561,0.250002396,0.189023187,0.145710693,0.114665394,0.09152026,0.073623257,0.059730727,0.049011341,0.040764375,0.034214089,0.02904971,0.024790802,0.021251354,0.018330938,0.015869846,0.013849657,0.012170647,0.01076484,0.009608564,0.008594389,0.007738664,0.007033169,0.006385306,0.005821917,0.005334339,0.004909951,0.004519022,0.004175943,0.003876016,0.003648692,0.003356025,0.003132702,0.002928451,0.002758282,0.002573806,0.002428167,0.002277716,0.002146724,0.002025824,0.001916084,0.001813808
,,1,0.692477123,0.473113905,0.328924969,0.235783309,0.17312094,0.130894233,0.100901321,0.079403162,0.063375686,0.050982421,0.041362162,0.033939233,0.028228397,0.023692474,0.02011626,0.017167063,0.014716077,0.012693755,0.010989505,0.009590571,0.008427894,0.007454406,0.006653711,0.005951418,0.005358847,0.004870309,0.004421678,0.004031545,0.003693908,0.003400029,0.003129319,0.002891745,0.002684052,0.002526636,0.00232397,0.002169324,0.002027885,0.001910047,0.001782302,0.00168145,0.001577266,0.001486557,0.001402837,0.001326845,0.00125602
,1,0.741048999,0.513159479,0.350600586,0.243749519,0.174726985,0.128291099,0.09699904,0.074772823,0.058841634,0.046964489,0.037780472,0.030651389,0.025150634,0.020918625,0.017557284,0.014907134,0.012721635,0.010905334,0.009406695,0.008143762,0.007107083,0.006245483,0.00552408,0.004930726,0.004410292,0.003971169,0.003609137,0.00327668,0.002987572,0.002737367,0.002519588,0.002318979,0.002142924,0.001989014,0.001872361,0.001722176,0.001607576,0.001502762,0.001415438,0.001320773,0.001246037,0.001168831,0.001101612,0.001039571,0.000983257,0.000930773
1,0.854735237,0.633400692,0.438615489,0.299670675,0.208341303,0.149345311,0.109654923,0.082908498,0.063910967,0.050294018,0.040142204,0.032292301,0.026198822,0.021497133,0.017879886,0.015006829,0.012741653,0.01087363,0.009321173,0.008040233,0.00696076,0.006074674,0.005338234,0.004721626,0.004214465,0.003769632,0.003394298,0.003084857,0.002800694,0.002553583,0.002339724,0.002153581,0.001982113,0.001831633,0.001700081,0.001600373,0.001472004,0.001374052,0.001284464,0.001209825,0.001128911,0.001065032,0.000999041,0.000941586,0.000888558,0.000840424,0.000795564
